fid,classification,distance,distance_in_km
"1","1",4.9,37.04
"2","1",8.2,61.99
"3","1",4.9,37.04
"4","1",3,22.68
"5","1",3,22.68
"6","2",1.5,11.34
"7","2",4.5,34.01
"8","1",10.9,82.4
"9","2",1.5,11.34
"10","1",3.7,27.97
"11","1",,
"12","1",2.6,19.65
"13","1",3.4,25.7
"14","2",8.2,61.99
"15","2",3,22.68
"16","2",3.7,27.97
"17","2",4.9,37.04
"18","3",6,45.36
"19","2",3.6,27.22
"20","2",7.5,56.69
"21","3",4.5,34.01
"22","1",,
"23","1",7.1,53.86
"24","1",9,68.03
"25","1",4.5,34.01
"26","3",4.5,34.01
"27","1",4.5,34.01
"28","1",6,45.36
"29","1",8.6,65.02
"30","2",3,22.68
"31","2",3.8,28.73
"32","1",6.7,50.65
"33","1",5.2,39.31
"34","2",6,45.36
"35","2",5.2,39.31
"36","1",3.8,28.73
"37","3",4.7,35.53
"38","1",4.1,30.99
"39","1",2.6,19.65
"40","1",1.5,11.34
"41","1",2.7,20.41
"42","1",3.4,25.7
"43","2",7.5,56.69
"44","1",6.4,48.38
"45","1",5.1,38.55
"46","3",2.2,16.63
"47","3",2.5,18.9
"48","1",2.2,16.63
"49","1",12,90.72
"50","2",3.8,28.73
"51","2",4.9,37.04
"52","1",3.4,25.7
"53","2",2,15.12
"54","1",1,7.56
"55","2",4.5,34.01
"56","2",2.2,16.63
"57","2",4.5,34.01
"58","2",4.5,34.01
"59","2",3.7,27.97
"60","1",,
"61","1",,
"62","1",,
"63","2",,
"64","1",,
"65","2",,
"66","1",,
"67","1",,
"68","2",3,22.68
"69","2",6,45.36
"70","1",5.6,42.33
"71","2",3.4,25.7
